Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,BranchLength,IrrelevantFeature,Species
1,7.0,3.2,4.7,1.4,16.9,37.5,Iris-versicolor
2,6.4,3.2,4.5,1.5,16.4,95.1,Iris-versicolor
3,6.9,3.1,4.9,1.5,16.9,73.2,Iris-versicolor
4,5.5,2.3,0.7,1.3,15.6,59.9,Iris-versicolor
5,6.5,2.8,4.6,1.5,16.4,15.6,Iris-versicolor
6,5.7,1.8,9.1,4.1,15.8,15.6,Iris-versicolor
7,6.3,3.3,4.7,0.0,16.3,5.8,Iris-versicolor
8,3.1,2.4,3.3,1.0,13.0,86.6,Iris-versicolor
9,6.6,2.9,9.1,1.3,16.5,60.1,Iris-versicolor
10,5.2,2.7,3.9,1.4,15.1,70.8,Iris-versicolor
11,5.0,2.0,3.5,1.0,14.9,2.1,Iris-versicolor
12,5.9,3.0,4.2,1.5,16.0,97.0,Iris-versicolor
13,9.4,2.2,0.7,,19.5,83.2,Iris-versicolor
14,6.1,2.9,4.7,1.4,16.0,21.2,Iris-versicolor
15,5.6,2.9,3.6,1.3,15.5,18.2,Iris-versicolor
16,6.7,3.1,4.4,1.4,16.9,18.3,Iris-versicolor
17,5.6,3.0,4.5,1.5,15.7,30.4,Iris-versicolor
18,,2.7,4.1,1.0,,52.5,Iris-versicolor
19,6.2,2.2,,1.5,16.2,43.2,Iris-versicolor
20,5.6,2.5,3.9,1.1,15.6,29.1,Iris-versicolor
21,5.9,3.2,4.8,1.8,15.9,61.2,Iris-versicolor
22,,2.8,4.0,1.3,,13.9,Iris-versicolor
23,6.3,2.5,4.9,1.5,16.3,29.2,Iris-versicolor
24,6.1,2.8,4.7,1.2,16.1,36.6,Iris-versicolor
25,6.4,2.9,4.3,1.3,16.5,45.6,Iris-versicolor
26,6.6,3.0,4.4,1.4,16.7,78.5,Iris-versicolor
27,6.8,2.8,4.8,1.4,16.7,20.0,Iris-versicolor
28,6.7,3.0,5.0,1.7,16.7,51.4,Iris-versicolor
29,9.4,2.9,4.5,1.5,19.6,59.2,Iris-versicolor
30,5.7,2.6,0.7,1.0,15.7,4.6,Iris-versicolor
31,5.5,2.4,3.8,1.1,15.5,60.8,Iris-versicolor
32,,2.4,3.7,1.0,,17.1,Iris-versicolor
33,5.8,2.7,3.9,1.2,15.7,6.5,Iris-versicolor
34,6.0,2.7,9.1,,16.0,94.9,Iris-versicolor
35,5.4,3.0,4.5,1.5,15.6,96.6,Iris-versicolor
36,6.0,3.4,4.5,1.6,16.1,80.8,Iris-versicolor
37,6.7,3.1,4.7,1.5,16.6,30.5,Iris-versicolor
38,6.3,,4.4,1.3,16.3,9.8,Iris-versicolor
39,5.6,3.0,9.1,1.3,15.5,68.4,Iris-versicolor
40,5.5,2.5,4.0,1.3,15.3,44.0,Iris-versicolor
41,5.5,2.6,4.4,,15.5,12.2,Iris-versicolor
42,6.1,3.0,4.6,-0.8,16.3,49.5,Iris-versicolor
43,5.8,2.6,4.0,1.2,15.8,3.4,Iris-versicolor
44,5.0,2.3,3.3,,15.1,90.9,Iris-versicolor
45,5.6,2.7,4.2,1.3,15.5,25.9,Iris-versicolor
46,5.7,3.0,4.2,1.2,15.7,66.3,Iris-versicolor
47,5.7,2.9,4.2,1.3,15.7,31.2,Iris-versicolor
48,6.2,3.9,4.3,1.3,16.2,52.0,Iris-versicolor
49,5.1,2.5,0.7,1.1,15.2,54.7,Iris-versicolor
50,5.7,2.8,4.1,1.3,15.8,18.5,Iris-versicolor
51,6.3,3.3,6.0,2.5,16.2,97.0,Iris-virginica
52,,2.7,5.1,1.9,,77.5,Iris-virginica
53,7.1,3.0,5.9,2.1,17.0,93.9,Iris-virginica
54,6.3,2.9,5.6,1.8,16.3,89.5,Iris-virginica
55,6.5,3.0,5.8,-0.8,16.4,59.8,Iris-virginica
56,7.6,3.0,6.6,2.1,17.4,92.2,Iris-virginica
57,4.9,2.5,,1.7,14.7,8.8,Iris-virginica
58,7.3,2.9,6.3,1.8,17.4,19.6,Iris-virginica
59,3.1,2.5,9.1,1.8,13.1,4.5,Iris-virginica
60,7.2,3.6,,2.5,17.1,32.5,Iris-virginica
61,6.5,3.2,0.7,2.0,16.5,38.9,Iris-virginica
62,6.4,2.7,0.7,1.9,16.4,27.1,Iris-virginica
63,6.8,1.8,5.5,2.1,16.8,82.9,Iris-virginica
64,5.7,2.5,5.0,2.0,15.7,35.7,Iris-virginica
65,5.8,2.8,5.1,2.4,15.9,28.1,Iris-virginica
66,6.4,3.2,5.3,2.3,16.5,54.3,Iris-virginica
67,6.5,3.0,5.5,1.8,16.6,14.1,Iris-virginica
68,7.7,,,2.2,17.8,80.2,Iris-virginica
69,,2.6,6.9,2.3,,7.5,Iris-virginica
70,6.0,2.2,5.0,1.5,16.0,98.7,Iris-virginica
71,,3.2,9.1,2.3,,77.2,Iris-virginica
72,5.6,2.8,,2.0,15.5,19.9,Iris-virginica
73,7.7,2.8,6.7,,17.7,0.6,Iris-virginica
74,6.3,2.7,4.9,1.8,16.3,81.5,Iris-virginica
75,6.7,3.3,5.7,2.1,16.8,70.7,Iris-virginica
76,7.2,3.2,6.0,1.8,17.3,72.9,Iris-virginica
77,6.2,2.8,4.8,1.8,16.2,77.1,Iris-virginica
78,6.1,3.0,4.9,1.8,16.1,7.4,Iris-virginica
79,6.4,2.8,5.6,2.1,16.3,35.8,Iris-virginica
80,7.2,3.0,5.8,1.6,17.1,11.6,Iris-virginica
81,7.4,2.8,0.7,1.9,17.3,86.3,Iris-virginica
82,7.9,1.8,6.4,2.0,17.9,62.3,Iris-virginica
83,6.4,2.8,5.6,4.1,16.3,33.1,Iris-virginica
84,6.3,2.8,5.1,1.5,16.2,6.4,Iris-virginica
85,6.1,2.6,5.6,1.4,16.1,31.1,Iris-virginica
86,3.1,3.0,6.1,4.1,12.9,32.5,Iris-virginica
87,6.3,3.4,5.6,2.4,16.3,73.0,Iris-virginica
88,6.4,3.1,5.5,1.8,16.4,63.8,Iris-virginica
89,6.0,3.0,4.8,1.8,16.1,88.7,Iris-virginica
90,6.9,3.1,9.1,2.1,16.8,47.2,Iris-virginica
91,6.7,3.1,9.1,2.4,16.7,12.0,Iris-virginica
92,6.9,3.9,5.1,-0.8,16.7,71.3,Iris-virginica
93,5.8,2.7,5.1,1.9,15.9,76.1,Iris-virginica
94,6.8,3.2,9.1,2.3,16.8,56.1,Iris-virginica
95,6.7,3.3,5.7,2.5,16.7,77.1,Iris-virginica
96,6.7,3.0,5.2,2.3,16.5,49.4,Iris-virginica
97,6.3,2.5,5.0,1.9,16.3,52.3,Iris-virginica
98,6.5,3.0,5.2,2.0,16.4,42.8,Iris-virginica
99,6.2,3.4,,2.3,16.1,2.5,Iris-virginica
100,9.4,3.0,5.1,1.8,19.3,10.8,Iris-virginica
101,6.5,2.7,0.9,2.0,16.6,27.1,Iris-virginica
102,6.7,3.1,4.9,1.5,16.6,30.5,Iris-versicolor
103,6.5,3.3,5.3,2.3,16.4,54.3,Iris-virginica
104,,2.4,3.8,1.1,,17.1,Iris-versicolor
105,7.1,3.7,,2.4,17.1,32.5,Iris-virginica
106,7.1,3.0,5.7,1.7,16.9,11.6,Iris-virginica
107,7.6,3.0,6.7,2.0,17.4,92.2,Iris-virginica
108,5.6,2.7,4.0,1.0,15.5,29.1,Iris-versicolor
109,6.8,3.3,9.1,2.4,16.8,56.1,Iris-virginica
110,6.7,3.3,5.7,2.0,16.9,70.7,Iris-virginica
111,6.4,2.8,5.1,1.6,16.1,6.4,Iris-virginica
112,6.1,3.3,4.8,-0.0,16.3,5.8,Iris-versicolor
113,7.3,3.0,6.5,1.9,17.5,19.6,Iris-virginica
114,6.6,2.9,9.2,1.4,16.4,60.1,Iris-versicolor
115,5.4,2.3,3.9,1.1,15.5,60.8,Iris-versicolor
116,6.3,2.7,4.9,1.7,16.4,81.5,Iris-virginica
117,6.2,2.7,9.1,,16.0,94.9,Iris-versicolor
118,9.5,2.9,5.1,1.7,19.3,10.8,Iris-virginica
119,6.4,3.1,0.7,2.0,16.6,38.9,Iris-virginica
120,5.3,2.4,4.1,1.4,15.3,44.0,Iris-versicolor
121,7.6,2.8,0.8,1.9,17.4,86.3,Iris-virginica
122,6.0,3.0,4.2,1.5,16.1,97.0,Iris-versicolor
123,6.5,2.9,5.5,2.0,16.7,14.1,Iris-virginica
124,5.9,2.6,4.0,1.1,15.8,3.4,Iris-versicolor
125,5.5,2.9,3.5,1.3,15.5,18.2,Iris-versicolor
126,6.2,3.0,4.6,-0.9,16.6,49.5,Iris-versicolor
127,,2.7,4.0,1.1,,52.5,Iris-versicolor
128,6.9,3.0,4.8,1.4,17.0,73.2,Iris-versicolor
129,4.8,2.4,,1.7,14.7,8.8,Iris-virginica
130,6.5,2.6,4.6,1.5,16.4,15.6,Iris-versicolor
131,3.0,2.5,8.9,1.8,13.1,4.5,Iris-virginica
132,5.6,3.0,9.0,1.5,15.4,68.4,Iris-versicolor
133,6.4,3.3,5.6,2.3,16.3,54.3,Iris-virginica
134,7.4,2.9,6.3,1.8,17.3,19.6,Iris-virginica
135,7.6,,,2.2,18.0,80.2,Iris-virginica
136,6.0,3.2,4.6,-0.6,16.3,49.5,Iris-versicolor
137,6.3,3.2,6.0,2.6,16.2,97.0,Iris-virginica
138,7.5,3.0,6.6,2.1,17.3,92.2,Iris-virginica
139,7.2,3.5,,2.3,17.2,32.5,Iris-virginica
140,6.4,2.8,5.6,4.1,16.4,33.1,Iris-virginica
141,5.8,2.8,3.9,1.3,15.8,6.5,Iris-versicolor
142,5.4,2.6,4.3,,15.6,12.2,Iris-versicolor
143,6.8,3.0,9.1,2.5,16.6,12.0,Iris-virginica
144,6.5,3.0,5.2,2.1,16.3,42.8,Iris-virginica
145,6.4,2.6,4.8,1.8,16.3,81.5,Iris-virginica
146,6.3,3.0,4.2,1.2,16.8,45.6,Iris-versicolor
147,5.9,3.1,4.8,1.8,16.2,88.7,Iris-virginica
148,5.9,3.0,5.1,2.4,15.9,28.1,Iris-virginica
149,6.0,2.8,4.9,1.6,16.2,88.7,Iris-virginica
150,5.5,2.9,3.7,1.4,15.4,18.2,Iris-versicolor
151,,3.1,9.2,2.4,,77.2,Iris-virginica
152,5.5,3.1,4.5,1.5,15.5,96.6,Iris-versicolor
153,6.3,2.8,5.5,2.3,16.2,35.8,Iris-virginica
154,6.2,2.4,4.9,1.6,16.0,98.7,Iris-virginica
155,3.2,2.5,9.2,1.8,12.9,4.5,Iris-virginica
156,6.3,2.6,4.9,1.8,16.4,52.3,Iris-virginica
157,7.3,2.9,6.4,1.6,17.5,19.6,Iris-virginica
158,6.5,2.8,4.6,1.2,16.4,45.6,Iris-versicolor
159,9.5,2.9,4.5,1.5,19.5,59.2,Iris-versicolor
160,6.2,2.5,5.0,1.9,16.3,52.3,Iris-virginica
161,5.7,2.4,3.9,1.4,15.2,44.0,Iris-versicolor
162,6.2,2.6,4.7,1.7,16.2,77.1,Iris-virginica
163,6.4,3.5,5.5,2.3,16.3,73.0,Iris-virginica
164,,2.7,5.3,1.9,,77.5,Iris-virginica
165,6.3,3.1,5.3,2.4,16.6,54.3,Iris-virginica
166,,2.8,3.9,1.3,,13.9,Iris-versicolor
167,6.5,3.0,5.4,1.8,16.5,63.8,Iris-virginica
168,6.6,2.9,4.9,1.7,16.8,51.4,Iris-versicolor
169,6.3,2.5,5.0,1.8,16.1,52.3,Iris-virginica
170,6.3,2.5,4.9,1.5,16.4,29.2,Iris-versicolor
171,,2.8,3.9,1.4,,13.9,Iris-versicolor
172,6.7,1.5,5.6,2.1,16.9,82.9,Iris-virginica
173,5.5,2.4,3.7,1.0,15.5,60.8,Iris-versicolor
174,6.3,3.0,5.1,1.9,16.3,42.8,Iris-virginica
175,7.7,2.8,6.7,,17.5,0.6,Iris-virginica
176,5.5,2.5,4.0,1.2,15.5,60.8,Iris-versicolor
177,6.3,2.5,4.8,1.7,16.4,81.5,Iris-virginica
178,5.6,2.8,4.2,1.2,15.6,25.9,Iris-versicolor
179,7.0,3.0,5.0,1.4,17.0,73.2,Iris-versicolor
180,5.9,3.1,4.9,1.9,16.2,88.7,Iris-virginica
181,7.0,3.8,5.1,-0.9,16.7,71.3,Iris-virginica
182,7.1,3.3,4.7,1.5,16.9,37.5,Iris-versicolor
183,6.2,3.0,4.5,-0.8,16.3,49.5,Iris-versicolor
184,5.5,2.3,0.6,1.3,15.7,59.9,Iris-versicolor
185,,2.5,3.8,1.0,,17.1,Iris-versicolor
186,9.4,2.9,4.4,1.5,19.7,59.2,Iris-versicolor
187,6.1,3.8,4.3,1.1,16.2,52.0,Iris-versicolor
188,6.0,3.1,4.8,1.4,15.8,21.2,Iris-versicolor
189,5.0,2.3,3.6,1.0,14.7,2.1,Iris-versicolor
190,6.5,2.9,4.2,1.2,16.5,45.6,Iris-versicolor
191,6.4,2.4,4.9,1.3,16.4,29.2,Iris-versicolor
192,7.9,1.8,6.4,2.1,17.8,62.3,Iris-virginica
193,6.0,3.1,4.2,1.7,16.1,97.0,Iris-versicolor
194,6.4,3.2,0.8,2.1,16.4,38.9,Iris-virginica
195,7.7,3.0,6.5,2.2,17.6,92.2,Iris-virginica
196,6.5,3.2,5.4,1.8,16.6,14.1,Iris-virginica
197,6.4,3.2,5.2,2.5,16.6,54.3,Iris-virginica
198,5.8,1.7,8.9,4.1,15.9,15.6,Iris-versicolor
199,,2.3,3.6,0.9,,17.1,Iris-versicolor
200,6.4,2.5,5.0,2.0,16.3,52.3,Iris-virginica
201,3.0,3.0,6.0,4.2,13.0,32.5,Iris-virginica
202,6.3,3.5,6.0,2.5,16.2,97.0,Iris-virginica
203,3.1,2.5,9.1,1.7,13.1,4.5,Iris-virginica
204,5.7,2.5,3.8,1.2,15.8,3.4,Iris-versicolor
205,6.6,3.1,5.3,1.8,16.2,42.8,Iris-virginica
206,5.7,2.6,4.2,1.3,15.1,44.0,Iris-versicolor
207,6.3,2.5,5.0,2.0,16.4,81.5,Iris-virginica
208,5.8,2.9,5.2,2.2,16.0,28.1,Iris-virginica
209,5.4,2.3,3.8,1.0,15.4,60.8,Iris-versicolor
210,7.4,3.0,5.9,1.5,17.2,11.6,Iris-virginica
211,6.7,3.1,9.1,2.3,16.6,12.0,Iris-virginica
212,6.2,2.8,5.1,1.5,16.2,6.4,Iris-virginica
213,5.9,2.4,4.9,1.3,15.7,98.7,Iris-virginica
214,6.7,3.2,5.8,2.1,16.9,70.7,Iris-virginica
215,4.8,2.5,3.3,,15.0,90.9,Iris-versicolor
216,3.2,2.4,3.3,1.1,13.0,86.6,Iris-versicolor
217,7.1,3.4,4.9,1.3,16.8,37.5,Iris-versicolor
218,6.1,2.3,,1.6,16.2,43.2,Iris-versicolor
219,5.6,2.7,4.2,1.2,15.2,25.9,Iris-versicolor
220,,2.7,4.2,1.1,,52.5,Iris-versicolor
221,7.6,3.0,6.4,2.3,17.4,92.2,Iris-virginica
222,6.9,1.7,5.5,2.2,16.9,82.9,Iris-virginica
223,6.3,2.8,5.3,2.1,16.6,42.8,Iris-virginica
224,4.9,2.2,,1.8,14.8,8.8,Iris-virginica
225,5.4,2.6,4.5,,15.5,12.2,Iris-versicolor
226,7.7,2.8,6.6,,17.6,0.6,Iris-virginica
227,6.3,3.0,4.3,1.2,16.3,45.6,Iris-versicolor
228,6.1,4.0,4.2,1.3,16.1,52.0,Iris-versicolor
229,6.0,2.6,5.1,2.0,15.7,76.1,Iris-virginica
230,5.9,2.8,3.9,1.1,15.6,6.5,Iris-versicolor
231,9.6,3.1,4.9,1.8,19.1,10.8,Iris-virginica
232,5.9,2.6,5.0,2.0,15.9,35.7,Iris-virginica
233,7.2,3.7,,2.5,17.1,32.5,Iris-virginica
234,5.8,2.6,5.0,1.9,15.9,35.7,Iris-virginica
235,6.3,3.2,4.7,-0.0,16.4,5.8,Iris-versicolor
236,6.4,3.0,5.3,1.9,16.5,14.1,Iris-virginica
237,6.2,3.1,4.7,0.1,16.2,5.8,Iris-versicolor
238,5.0,2.2,3.3,,15.1,90.9,Iris-versicolor
239,6.4,2.7,4.9,1.6,16.3,81.5,Iris-virginica
240,6.1,2.9,4.7,1.3,15.9,21.2,Iris-versicolor
241,6.8,3.1,5.0,1.4,16.9,73.2,Iris-versicolor
242,5.7,2.6,4.2,1.2,15.6,25.9,Iris-versicolor
243,7.2,3.1,6.1,2.1,17.1,93.9,Iris-virginica
244,3.2,2.6,9.1,1.9,13.1,4.5,Iris-virginica
245,6.0,2.9,4.5,1.3,15.9,36.6,Iris-versicolor
246,7.2,2.9,6.0,1.7,17.2,11.6,Iris-virginica
247,5.8,2.6,3.8,1.2,15.7,6.5,Iris-versicolor
248,7.1,3.0,5.8,1.5,17.0,11.6,Iris-virginica
249,5.9,2.2,4.9,1.5,15.8,98.7,Iris-virginica
250,6.3,3.2,5.9,2.3,16.2,97.0,Iris-virginica
